"component","regulator","date","condition","accelerated","withdrawn","first_in_class","note","context","stage_or_status","risk_stratification","demographics","ineligibility","prior_therapy","prior_therapy_negation","prior_therapy_setting","response_contingency","time_contingency","prior_biomarker","with","biomarker","biomarker_negation","study_yn","study","string","date_added"
"Abarelix","FDA","2003-11-25","Prostate cancer",FALSE,FALSE,TRUE,"","","Symptomatic","","men","","",NA,"","","","","","","",TRUE,"Koch et al. 2003","2003-11-25: Approved for palliative treatment of men with advanced symptomatic <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>, in whom LHRH agonist therapy is not appropriate and who refuse surgical castration, and have one or more of the following: risk of neurological compromise due to metastases, ureteral or bladder outlet obstruction due to local encroachment or metastatic disease, or severe bone pain from skeletal metastases persisting on narcotic analgesia. <i>(Based on Koch et al. 2003)</i>","2022-09-05"
"Abciximab","FDA","1994-12-22","NONE",FALSE,FALSE,TRUE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","1994-12-22: Initial approval (label not available at Drugs @ FDA)","2022-09-05"
"Abemaciclib","EMA","2018-09-26","Breast cancer",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","women","","",NA,"","","","","Aromatase inhibitor OR Fulvestrant","HR+ and HER2-","FALSE AND TRUE",NA,"","2018-09-26: Initial authorization as Verzenios for the treatment of women with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative locally advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> in combination with an aromatase inhibitor or fulvestrant as initial endocrine-based therapy, or in women who have received prior endocrine therapy.","2023-09-17"
"Abemaciclib","EMA","2018-09-26","Breast cancer",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","women","","",NA,"","","","","Aromatase inhibitor OR Fulvestrant","HR+ and HER2-","FALSE AND TRUE",NA,"","2018-09-26: Initial authorization as Verzenios for the treatment of women with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative locally advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> in combination with an aromatase inhibitor or fulvestrant as initial endocrine-based therapy, or in women who have received prior endocrine therapy. In pre- or perimenopausal women, the endocrine therapy should be combined with a luteinising hormone-releasing hormone (LHRH) agonist.","2023-09-17"
"Abemaciclib","EMA","2022-04-01","Breast cancer",FALSE,FALSE,FALSE,"","Adjuvant","node-positive early","high risk of recurrence","","","",NA,"","","","","Endocrine therapy","HR+ and HER2-","FALSE AND TRUE",NA,"","2022-04-01: Extension of indication to include Verzenios in combination with endocrine therapy for adjuvant treatment of patients with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive early <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> at high risk of recurrence.","2023-09-17"
"Abemaciclib","FDA","2017-09-28","Breast cancer",FALSE,FALSE,FALSE,"","","Advanced OR Metastatic","","women","","Antiestrogen","FALSE","","","","","Fulvestrant","HR+ and HER2-","FALSE AND TRUE",TRUE,"MONARCH 2","2017-09-28: FDA approved in combination with <a href=""/wiki/Fulvestrant_(Faslodex)"" title=""Fulvestrant (Faslodex)"">fulvestrant</a> for women with <a href=""/wiki/Biomarkers#HR"" title=""Biomarkers"">HR</a>-<a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">positive</a>, <a href=""/wiki/Biomarkers#HER2"" title=""Biomarkers"">HER2</a>-<a href=""/wiki/Biomarkers#Normal_expression"" title=""Biomarkers"">negative</a> advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> with disease progression following endocrine therapy. <i>(Based on MONARCH 2)</i>","2022-09-05"
"Abemaciclib","FDA","2017-09-28","Breast cancer",FALSE,FALSE,FALSE,"","","Metastatic","","women and men","","Antiestrogen AND Chemotherapy","FALSE","Metastatic","","","","","HR+ and HER2-","FALSE AND TRUE",TRUE,"MONARCH 1","2017-09-28: FDA approved as monotherapy for women and men with <a href=""/wiki/Biomarkers#HR"" title=""Biomarkers"">HR</a>-<a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">positive</a>, <a href=""/wiki/Biomarkers#HER2"" title=""Biomarkers"">HER2</a>-<a href=""/wiki/Biomarkers#Normal_expression"" title=""Biomarkers"">negative</a> advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. <i>(Based on MONARCH 1)</i>","2022-09-05"
"Abemaciclib","FDA","2018-02-26","Breast cancer",FALSE,FALSE,FALSE,"","","Advanced OR Metastatic","","postmenopausal women","","",NA,"","","","","Aromatase inhibitor","HR+ and HER2-","FALSE AND TRUE",TRUE,"MONARCH 3","2018-02-26: FDA approved in combination with an <a href=""/wiki/Category:Aromatase_inhibitors"" title=""Category:Aromatase inhibitors"">aromatase inhibitor</a> as initial endocrine-based therapy for postmenopausal women with <a href=""/wiki/Biomarkers#HR"" title=""Biomarkers"">hormone receptor (HR)</a>-<a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">positive</a>, <a href=""/wiki/Biomarkers#HER2"" title=""Biomarkers"">human epidermal growth factor receptor 2 (HER2)</a>-<a href=""/wiki/Biomarkers#Normal_expression"" title=""Biomarkers"">negative</a> advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a>. <i>(Based on MONARCH 3)</i>","2022-09-05"
"Abemaciclib","FDA","2021-10-12","Breast cancer",FALSE,FALSE,FALSE,"","Adjuvant","Early","high risk of recurrence AND Ki-67 > 20%","adults","","Surgery","FALSE","","","","","Aromatase inhibitor OR Tamoxifen","HR+ and HER2-","FALSE AND TRUE",TRUE,"monarchE","2021-10-12: Approved with endocrine therapy (tamoxifen or an aromatase inhibitor) for adjuvant treatment of adult patients with <a href=""/wiki/Biomarkers#HR"" title=""Biomarkers"">hormone receptor (HR)</a>-<a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">positive</a>, <a href=""/wiki/Biomarkers#HER2"" title=""Biomarkers"">human epidermal growth factor receptor 2 (HER2)</a>-<a href=""/wiki/Biomarkers#Normal_expression"" title=""Biomarkers"">negative</a>, node-positive, early <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> at high risk of recurrence and a Ki-67 score of at least 20%, as determined by an FDA approved test. <i>(Based on monarchE)</i>","2023-01-03"
"Abemaciclib","FDA","2023-03-03","Breast cancer",FALSE,FALSE,FALSE,"","Adjuvant","node-positive early","high risk of recurrence","adults","","",NA,"","","","","Tamoxifen|Aromatase inhibitor","HR+ and HER2-","FALSE AND TRUE",TRUE,"monarchE","2023-03-03: Approved with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, early <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> at high risk of recurrence. <i>(Based on monarchE; Ki-67 biomarker requirement removed)</i>","2023-03-15"
"Abemaciclib","HC","2019-04-05","Breast cancer",FALSE,FALSE,FALSE,"","","Advanced OR Metastatic","","postmenopausal women","","0","FALSE","","","","","Aromatase inhibitor","HR+ and HER2-","FALSE AND TRUE",NA,"","2019-04-05: Initial notice of compliance for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> in combination with an aromatase inhibitor in postmenopausal women as initial endocrine-based therapy.","2023-05-08"
"Abemaciclib","HC","2019-04-05","Breast cancer",FALSE,FALSE,FALSE,"","","Advanced OR Metastatic","","women","","Endocrine-based regimen","FALSE","","progression","","","Fulvestrant AND GnRH agonist, if premenopausal or perimenopausal","HR+ and HER2-","FALSE AND TRUE",NA,"","2019-04-05: Initial notice of compliance for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> in combination with fulvestrant in women with disease progression following endocrine therapy. Pre- or perimenopausal women must also be treated with a gonadotropin-releasing hormone (GnRH) agonist.","2023-05-08"
"Abemaciclib","HC","2019-04-05","Breast cancer",FALSE,FALSE,FALSE,"","","Advanced OR Metastatic","","women","","endocrine-based regimen AND 1+ taxane-based regimen AND 1+ chemotherapy-based regimen","FALSE","1+ metastatic","progression","","","0","HR+ and HER2-","FALSE AND TRUE",NA,"","2019-04-05: Initial notice of compliance for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> as a single agent in women with disease progression following endocrine therapy and at least 2 prior chemotherapy regimens. At least one chemotherapy regimen should have been administered in the metastatic setting, and at least one should have contained a taxane.","2023-05-08"
"Abemaciclib","HC","2022-01-12","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2022-01-12: New indication","2023-05-08"
"Abemaciclib","PMDA","2018-09-21","Breast cancer",FALSE,FALSE,FALSE,"","","Inoperable|Recurrent","","","","",NA,"","","","","","HR+ and HER2-","FALSE AND TRUE",NA,"","2018-09-21: Newly indicated for the treatment of hormone receptor (HR)-positive and human epidermal growth factor receptor 2 (HER2)negative inoperable or recurrent <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a>.","2023-06-16"
"Abemaciclib","PMDA","2021-12-24","Breast cancer",FALSE,FALSE,FALSE,"","Adjuvant","","high risk of recurrence","","","Surgery","FALSE","","","","","","HR+ and HER2-","FALSE AND TRUE",NA,"","2021-12-24: New indication and a new dosage for the postoperative adjuvant treatment of hormone receptor (HR)-positive and human epidermal growth factor receptor 2 (HER2)-negative <a href=""/wiki/Breast_cancer"" title=""Breast cancer"">breast cancer</a> with a high risk of recurrence.","2023-06-16"
